attendance_id,emp_id,attendance_date,status
648,613,2025-09-24,Leave
649,1016,2025-07-07,Leave
654,1415,2025-10-24,Absent
655,52,2025-11-22,Present
659,1047,2025-07-16,Absent
662,1411,2025-07-30,Present
665,970,2025-12-16,Present
667,859,2025-10-12,Present
668,1032,2025-11-23,Present
670,290,2025-03-19,Present
672,379,2025-10-10,Absent
674,1019,2025-05-12,Present
675,789,2025-02-17,Present
676,925,2025-03-20,Present
680,1153,2025-08-18,Leave
685,1269,2025-03-07,Present
686,562,2025-03-06,Leave
688,1200,2025-09-21,Present
690,722,2025-11-16,Leave
692,225,2025-02-11,Absent
694,1165,2025-01-19,Leave
695,889,2025-01-27,Leave
696,145,2025-11-15,Present
698,981,2025-09-08,Leave
699,989,2025-07-06,Absent
700,1345,2025-11-29,Leave
701,893,2026-01-01,Leave
702,718,2025-10-29,Present
704,1325,2025-01-30,Present
706,1096,2025-06-26,Absent
707,11,2025-07-29,Absent
709,1449,2025-05-08,Leave
710,775,2025-09-08,Leave
711,1260,2025-03-02,Present
713,410,2025-07-14,Absent
714,88,2025-02-13,Absent
715,160,2025-10-12,Present
717,811,2025-02-22,Absent
720,1393,2025-02-16,Present
724,212,2025-08-23,Present
725,714,2025-12-04,Present
726,783,2025-05-16,Present
729,1425,2025-09-02,Absent
730,230,2025-04-27,Present
731,1102,2025-02-12,Leave
734,26,2025-11-24,Leave
735,791,2025-10-29,Present
736,500,2025-01-12,Absent
738,311,2025-05-31,Present
739,904,2025-10-26,Present
740,327,2025-02-26,Present
742,453,2025-08-24,Absent
745,1119,2025-02-13,Leave
747,259,2025-07-25,Leave
748,217,2025-08-28,Leave
750,215,2025-03-18,Leave
751,111,2025-02-23,Leave
753,1122,2025-07-14,Leave
757,1166,2025-03-14,Present
759,970,2025-08-24,Present
760,1465,2025-01-19,Leave
761,415,2025-08-30,Absent
762,546,2025-07-10,Leave
763,1469,2025-07-01,Present
764,286,2025-03-27,Absent
766,1067,2025-01-02,Leave
769,341,2025-01-02,Present
774,398,2025-01-24,Leave
775,1453,2025-08-01,Present
776,1092,2025-10-01,Leave
777,1291,2025-01-03,Absent
778,96,2025-02-20,Present
779,947,2025-10-17,Present
780,521,2025-12-30,Absent
783,1246,2025-04-02,Absent
784,236,2025-06-12,Absent
786,241,2025-12-15,Present
787,1336,2025-08-05,Leave
788,456,2025-12-25,Present
792,688,2025-01-31,Present
793,1269,2025-09-11,Absent
794,612,2025-09-06,Leave
795,132,2025-06-26,Absent
796,1370,2025-06-22,Present
797,418,2025-07-27,Absent
800,445,2025-01-24,Leave
801,226,2025-09-04,Absent
805,1389,2025-02-21,Leave
806,946,2025-07-21,Absent
809,190,2025-05-12,Leave
810,494,2025-06-19,Leave
811,526,2025-06-23,Present
813,1327,2025-10-21,Absent
814,1145,2025-11-23,Absent
815,722,2025-09-03,Absent
816,749,2025-01-02,Present
818,622,2025-05-23,Leave
821,738,2025-01-14,Present
823,738,2025-07-10,Present
826,1129,2025-10-30,Leave
827,934,2025-09-07,Leave
829,375,2025-06-14,Absent
831,868,2025-01-11,Present
833,1109,2025-01-12,Absent
837,1426,2025-01-01,Present
838,164,2025-09-24,Leave
839,439,2025-08-11,Present
842,653,2025-09-06,Absent
843,224,2025-04-06,Leave
844,540,2025-07-03,Leave
845,459,2025-07-20,Absent
846,1163,2025-10-24,Absent
847,715,2025-07-22,Absent
849,899,2025-07-21,Leave
850,995,2025-03-09,Leave
851,285,2025-11-03,Absent
853,782,2025-10-14,Absent
855,959,2025-09-23,Leave
856,1467,2025-02-16,Present
857,139,2025-03-07,Absent
858,659,2025-10-23,Leave
860,431,2025-08-20,Present
861,904,2025-10-12,Absent
866,1200,2025-06-13,Leave
867,1222,2025-04-08,Present
871,287,2025-08-08,Present
874,1243,2025-07-04,Absent
880,600,2025-06-04,Absent
881,694,2025-01-18,Leave
884,751,2025-08-11,Absent
885,223,2025-11-03,Leave
888,1254,2025-09-05,Present
894,1420,2025-12-25,Leave
895,334,2025-09-22,Leave
896,218,2025-04-24,Absent
897,309,2025-10-14,Present
898,761,2025-04-18,Absent
899,425,2025-07-18,Present
900,847,2025-08-10,Leave
902,977,2025-07-02,Present
904,132,2025-05-27,Absent
906,1302,2025-10-14,Absent
907,1274,2025-01-11,Absent
908,1447,2025-09-14,Leave
909,1334,2025-09-12,Present
910,1323,2025-04-15,Absent
911,1346,2025-10-30,Absent
915,1317,2025-01-31,Present
918,564,2025-06-26,Absent
924,552,2025-10-08,Leave
925,693,2025-11-30,Absent
926,607,2025-01-10,Leave
927,139,2025-09-03,Present
928,773,2025-08-09,Present
931,1024,2025-03-08,Present
932,398,2025-09-08,Leave
933,1101,2025-12-23,Leave
937,265,2025-03-12,Leave
938,1369,2025-10-27,Present
939,371,2025-11-07,Absent
942,1258,2025-11-05,Absent
945,577,2025-12-16,Absent
946,56,2025-05-02,Absent
947,1500,2025-02-06,Present
948,1494,2025-01-05,Present
952,1250,2025-08-31,Absent
953,637,2025-07-02,Present
954,242,2025-03-29,Absent
958,14,2025-08-27,Leave
959,495,2025-08-05,Absent
960,135,2025-07-14,Absent
961,1170,2025-01-28,Absent
963,1069,2025-09-24,Present
965,1483,2025-01-11,Present
967,11,2025-05-08,Leave
969,1318,2025-06-19,Leave
974,761,2025-05-22,Leave
976,1431,2025-04-20,Present
977,125,2025-07-07,Present
978,1326,2025-09-24,Leave
981,329,2025-07-08,Absent
982,933,2025-08-08,Present
983,888,2025-09-22,Leave
984,955,2025-04-06,Present
985,55,2025-10-13,Present
988,893,2025-09-06,Absent
989,719,2025-03-28,Leave
991,1379,2025-02-12,Present
993,381,2025-04-16,Leave
994,1471,2025-12-22,Present
995,1277,2025-05-02,Present
997,869,2025-06-06,Leave
999,184,2025-06-24,Present
1000,949,2025-10-25,Absent
1006,1112,2025-02-14,Leave
1013,924,2025-01-25,Absent
1015,964,2025-11-10,Present
1016,454,2025-04-06,Leave
1021,1272,2025-04-27,Leave
1023,633,2025-07-28,Present
1025,517,2025-09-28,Absent
1026,1002,2025-11-25,Present
1027,743,2025-08-24,Leave
1028,1063,2025-10-10,Leave
1030,1390,2025-05-05,Present
1033,165,2025-01-28,Present
1034,990,2025-07-26,Present
1035,1117,2025-09-30,Absent
1036,1214,2025-12-29,Leave
1038,748,2025-09-23,Leave
1039,320,2025-07-17,Leave
1045,1240,2025-09-19,Absent
1046,1219,2025-04-28,Present
1048,1035,2025-02-02,Leave
1055,647,2025-06-23,Leave
1056,1130,2025-11-09,Absent
1059,664,2025-07-18,Leave
1062,1037,2025-07-18,Leave
1063,10,2025-06-01,Absent
1064,464,2025-12-30,Absent
1067,642,2025-05-26,Present
1069,1310,2025-07-12,Present
1070,1346,2025-01-07,Absent
1071,1353,2025-11-11,Leave
1072,1470,2025-06-10,Leave
1073,1011,2025-07-15,Absent
1075,165,2025-06-29,Absent
1076,1293,2025-05-05,Present
1078,608,2025-12-29,Leave
1080,528,2025-02-23,Leave
1082,583,2025-09-12,Leave
1083,213,2025-04-16,Present
1084,1248,2025-02-28,Leave
1085,537,2025-10-15,Present
1086,463,2025-05-07,Leave
1088,390,2025-08-08,Present
1089,1275,2025-05-31,Leave
1090,1154,2025-02-15,Absent
1097,576,2025-03-29,Absent
1098,878,2025-07-18,Leave
1101,730,2025-11-05,Present
1102,93,2025-05-05,Leave
1103,713,2025-10-27,Leave
1104,767,2025-11-03,Leave
1105,997,2025-10-17,Absent
1109,1023,2025-10-28,Present
1110,1496,2025-06-15,Leave
1115,685,2025-09-29,Absent
1119,730,2025-09-23,Leave
1121,982,2025-04-29,Absent
1122,662,2025-07-15,Absent
1123,1243,2025-11-21,Present
1125,1052,2025-11-13,Present
1126,1043,2025-06-13,Leave
1131,1203,2025-06-30,Present
1133,1437,2025-05-28,Leave
1135,737,2025-03-18,Present
1137,588,2025-11-01,Leave
1139,269,2025-03-12,Absent
1141,723,2025-07-21,Leave
1146,863,2025-07-13,Absent
1148,599,2025-04-23,Leave
1153,808,2025-07-18,Absent
1155,253,2025-04-10,Leave
1157,404,2025-04-13,Leave
1158,1306,2025-06-30,Leave
1162,604,2025-03-20,Absent
1163,40,2025-07-11,Absent
1164,770,2025-10-31,Present
1165,1116,2025-03-01,Absent
1166,522,2025-12-19,Leave
1167,1288,2025-01-14,Absent
1168,604,2025-10-20,Leave
1171,741,2025-07-02,Present
1174,1456,2025-02-19,Present
1176,822,2025-09-18,Absent
1177,1000,2025-02-15,Leave
1180,347,2025-01-02,Absent
1182,172,2025-04-24,Absent
1183,466,2025-09-01,Leave
1184,1310,2025-05-23,Present
1191,188,2025-01-02,Absent
1192,317,2025-01-14,Present
1193,702,2025-09-21,Present
1196,752,2025-05-22,Leave
1200,1465,2025-10-04,Present
1206,1431,2025-05-15,Absent
1209,1174,2025-04-18,Leave
1211,1068,2025-02-20,Absent
1213,1492,2025-10-03,Absent
1218,232,2025-12-16,Leave
1220,1047,2025-04-13,Present
1221,1477,2025-08-14,Absent
1222,1220,2025-06-14,Absent
1223,698,2025-06-03,Leave
1227,414,2025-07-07,Absent
1229,430,2025-12-01,Present
1233,1091,2025-05-19,Present
1234,1163,2025-06-13,Leave
1235,1381,2025-06-22,Absent
1238,364,2025-04-19,Leave
1239,719,2025-10-17,Leave
1241,797,2025-09-15,Present
1243,102,2025-02-28,Leave
1245,83,2025-10-28,Leave
1249,574,2025-04-24,Absent
1251,275,2025-06-09,Present
1252,240,2025-07-13,Present
1253,521,2025-07-03,Absent
1254,1181,2025-08-10,Present
1255,257,2025-08-30,Present
1258,594,2025-09-21,Leave
1260,1170,2025-06-26,Leave
1261,193,2025-04-03,Leave
1262,866,2025-11-16,Leave
1263,124,2025-08-10,Absent
1268,478,2025-11-11,Absent
1269,1415,2025-01-14,Present
1270,846,2025-03-10,Leave
1272,1431,2025-11-25,Present
1276,298,2025-04-17,Absent
1277,1092,2025-07-08,Present
1278,535,2025-10-14,Present
1279,186,2025-02-06,Absent
1282,497,2025-01-06,Leave
1283,7,2025-07-17,Leave
1284,357,2025-05-28,Present
1285,1489,2025-03-26,Present
1287,1303,2025-03-25,Leave
1288,729,2025-06-03,Leave
1290,936,2025-02-10,Leave
1292,1376,2025-07-07,Present
1293,409,2025-11-27,Absent
1295,451,2025-05-28,Present
1301,336,2025-09-01,Absent
1302,1193,2025-06-19,Absent
1303,918,2025-10-06,Absent
1306,1350,2025-03-12,Present
1308,240,2025-04-03,Absent
1311,726,2025-12-19,Leave
1314,290,2025-07-17,Leave
1315,93,2025-06-03,Leave
1316,887,2025-11-21,Absent
1317,422,2025-08-08,Absent
1319,883,2025-03-07,Leave
1322,404,2025-05-12,Present
1323,684,2025-08-02,Leave
1324,14,2025-05-16,Present
1326,1209,2025-09-11,Present
1327,1489,2025-11-14,Present
1330,1361,2025-05-03,Leave
1333,1117,2025-05-01,Absent
1334,1407,2025-07-16,Present
1337,1409,2025-05-31,Present
1338,936,2025-07-23,Absent
1339,653,2025-03-22,Present
1340,363,2025-03-04,Leave
1341,652,2025-05-23,Absent
1342,1053,2025-12-06,Absent
1343,732,2025-07-19,Leave
1345,74,2025-11-29,Leave
1347,1248,2025-10-07,Leave
1348,1038,2025-04-29,Present
1349,891,2025-03-21,Leave
1350,1261,2025-09-08,Leave
1357,382,2025-07-26,Absent
1361,517,2025-02-23,Present
1362,801,2025-10-03,Present
1363,1050,2025-03-01,Present
1364,108,2025-11-08,Absent
1365,1312,2025-03-16,Absent
1369,830,2025-08-19,Absent
1370,999,2025-12-28,Leave
1371,243,2025-07-20,Present
1374,517,2025-12-15,Leave
1375,64,2025-05-06,Absent
1380,786,2025-05-09,Leave
1382,194,2025-05-18,Present
1383,192,2025-02-26,Present
1386,753,2025-07-06,Present
1387,1036,2025-08-08,Present
1388,915,2025-06-20,Present
1394,1094,2025-01-16,Leave
1397,1411,2025-03-02,Absent
1398,827,2025-12-10,Absent
1403,537,2025-07-11,Leave
1406,421,2025-01-23,Leave
1407,1280,2025-11-07,Absent
1408,963,2025-01-05,Present
1409,176,2025-01-09,Present
1410,1236,2025-09-05,Absent
1411,160,2025-10-16,Leave
1412,494,2025-02-20,Absent
1413,737,2025-11-21,Present
1414,1299,2025-01-30,Present
1415,429,2025-07-17,Leave
1418,339,2025-04-09,Leave
1419,1010,2025-04-18,Absent
1420,16,2025-07-04,Present
1423,1127,2025-07-28,Absent
1427,375,2025-04-10,Present
1428,28,2025-01-13,Present
1430,985,2025-07-26,Leave
1434,1342,2025-03-20,Absent
1438,513,2025-10-15,Present
1440,1031,2025-12-15,Absent
1442,198,2025-09-05,Leave
1444,79,2025-10-21,Absent
1447,572,2025-12-09,Leave
1449,184,2025-01-19,Present
1451,252,2025-08-21,Absent
1454,201,2025-07-01,Present
1455,985,2025-08-11,Leave
1460,829,2025-04-01,Absent
1461,1492,2025-08-08,Present
1464,1016,2025-01-24,Present
1466,971,2025-04-01,Leave
1468,475,2025-09-27,Leave
1469,723,2025-01-11,Leave
1474,992,2025-09-24,Present
1475,747,2025-12-24,Absent
1476,1294,2025-04-11,Leave
1477,49,2025-05-26,Leave
1479,1461,2025-03-20,Present
1480,353,2025-01-25,Leave
1482,132,2025-12-13,Present
1484,212,2025-02-11,Present
1485,1003,2025-08-13,Absent
1487,467,2025-04-21,Absent
1488,395,2025-02-02,Absent
1489,1245,2025-05-09,Absent
1490,1377,2025-01-18,Present
1491,489,2025-05-06,Present
1492,80,2025-02-20,Absent
1493,362,2025-01-23,Absent
1497,938,2025-02-19,Present
1498,779,2025-05-14,Leave
1500,1379,2025-01-08,Present
1501,803,2025-08-25,Absent
1504,483,2025-09-03,Leave
1505,654,2025-05-21,Leave
1506,1041,2025-08-16,Leave
1508,641,2025-03-06,Absent
1509,699,2025-06-11,Absent
1512,775,2025-01-04,Absent
1513,524,2025-07-07,Absent
1515,19,2025-12-19,Leave
1516,1260,2025-09-10,Present
1517,724,2025-02-09,Absent
1518,944,2025-05-05,Leave
1519,1267,2025-01-14,Present
1524,1278,2025-09-08,Absent
1525,344,2025-03-18,Present
1527,1014,2025-03-14,Present
1528,11,2025-11-22,Present
1529,238,2025-03-24,Present
1530,249,2025-10-20,Leave
1531,432,2025-07-09,Leave
1535,1006,2025-01-09,Absent
1536,1196,2025-09-17,Present
1537,569,2025-06-20,Absent
1540,467,2025-12-28,Present
1541,290,2025-04-20,Leave
1542,415,2025-03-28,Absent
1543,584,2025-04-14,Present
1547,563,2025-11-04,Present
1548,1250,2025-02-12,Present
1549,658,2025-09-23,Present
1551,123,2025-07-10,Absent
1553,1300,2025-12-03,Absent
1556,121,2025-02-17,Leave
1557,905,2025-05-28,Leave
1558,1036,2025-07-19,Present
1559,662,2025-02-20,Absent
1560,1064,2025-01-07,Present
1562,466,2025-04-20,Leave
1566,597,2025-11-06,Absent
1567,1126,2025-01-31,Leave
1577,101,2025-11-30,Leave
1578,1060,2025-09-05,Present
1580,1484,2025-03-14,Absent
1582,331,2025-05-30,Leave
1584,933,2025-08-12,Absent
1585,859,2025-10-28,Absent
1586,1482,2025-09-03,Present
1587,1263,2025-04-08,Leave
1589,211,2025-11-30,Absent
1590,339,2025-02-06,Absent
1592,1426,2025-08-04,Absent
1594,1415,2025-10-12,Present
1596,1080,2025-02-24,Leave
1597,696,2025-05-04,Absent
1598,1133,2025-07-24,Leave
1599,485,2025-03-12,Absent
1602,348,2025-09-06,Absent
1603,218,2025-02-22,Present
1605,1309,2025-09-29,Absent
1606,833,2025-08-17,Leave
1607,1141,2025-07-22,Present
1608,793,2025-05-06,Leave
1609,353,2026-01-01,Leave
1612,1111,2025-02-19,Present
1613,486,2025-05-16,Absent
1616,804,2025-07-02,Present
1617,98,2025-07-14,Absent
1619,1467,2025-04-29,Leave
1620,1299,2025-03-07,Leave
1621,940,2025-12-23,Present
1625,944,2025-01-01,Leave
1626,1118,2025-09-20,Absent
1627,1007,2025-11-26,Leave
1631,287,2025-01-06,Absent
1635,1483,2025-07-09,Leave
1636,1035,2025-06-02,Absent
1638,1098,2025-02-19,Absent
1639,21,2025-06-11,Absent
1643,378,2025-05-13,Absent
1645,381,2025-10-01,Present
1646,1494,2025-05-29,Absent
1648,99,2025-04-11,Absent
1652,288,2025-04-02,Present
1653,511,2025-02-16,Absent
1654,214,2025-09-29,Leave
1658,353,2025-05-02,Present
1659,140,2025-09-28,Absent
1664,373,2025-03-31,Absent
1665,1446,2025-05-17,Leave
1666,726,2025-07-29,Present
1669,1192,2025-07-31,Present
1670,331,2025-02-16,Absent
1671,1216,2025-09-08,Present
1672,815,2025-07-21,Absent
1675,848,2025-08-21,Present
1680,1357,2025-11-10,Leave
1683,752,2025-10-27,Present
1685,1446,2025-11-30,Present
1687,68,2025-08-15,Leave
1689,144,2025-07-26,Absent
1691,685,2025-09-11,Leave
1692,753,2025-07-22,Leave
1693,727,2025-02-09,Absent
1694,812,2025-03-27,Present
1701,1209,2025-12-31,Present
1702,1280,2025-05-23,Absent
1704,820,2025-05-05,Present
1705,1054,2025-01-02,Present
1706,189,2025-09-22,Leave
1708,421,2025-06-05,Present
1709,1327,2025-09-28,Present
1711,284,2025-01-31,Absent
1712,843,2025-07-12,Present
1715,235,2025-02-12,Present
1718,776,2025-02-27,Leave
1719,765,2025-05-04,Absent
1720,1283,2025-05-28,Absent
1721,212,2025-05-15,Leave
1723,303,2025-01-13,Present
1724,258,2025-03-05,Present
1727,479,2025-12-30,Present
1728,1015,2025-07-08,Absent
1729,707,2025-05-28,Present
1730,501,2025-01-04,Leave
1732,525,2025-02-25,Leave
1734,1031,2025-11-29,Present
1739,1465,2025-05-07,Present
1740,184,2025-09-01,Present
1742,833,2025-08-01,Absent
1746,1055,2025-08-09,Present
1748,797,2025-07-19,Present
1749,631,2025-08-04,Absent
1751,856,2025-11-04,Absent
1753,104,2025-02-07,Present
1754,941,2025-02-16,Leave
1755,554,2025-04-30,Present
1757,1425,2025-07-01,Present
1758,530,2025-03-17,Absent
1760,983,2025-08-27,Present
1761,645,2025-03-08,Present
1762,198,2025-05-02,Leave
1764,704,2025-02-08,Present
1765,248,2025-03-15,Present
1768,276,2025-02-04,Present
1770,384,2025-10-09,Leave
1772,1447,2025-01-27,Present
1777,566,2025-08-17,Leave
1778,797,2025-02-10,Present
1781,26,2025-03-03,Present
1785,1297,2025-03-19,Leave
1786,99,2025-11-17,Present
