appraisal_id,emp_id,review_date,rating,remarks
113,1079,2025-05-05,4,Good
115,1043,2025-06-17,4,Excellent
116,78,2025-05-25,1,Average
117,840,2025-02-04,4,Excellent
122,240,2025-11-05,1,Excellent
125,1458,2025-11-09,4,Needs Improvement
127,1262,2025-12-02,2,Excellent
129,710,2025-06-28,2,Good
133,1401,2025-02-16,5,Excellent
136,1286,2025-09-18,4,Average
137,793,2025-07-27,5,Excellent
139,208,2025-06-08,3,Average
141,408,2025-06-01,4,Good
144,1484,2025-10-24,2,Good
146,1224,2025-05-21,3,Needs Improvement
149,1077,2025-10-02,4,Average
151,1381,2025-03-31,2,Needs Improvement
155,333,2025-12-24,4,Good
159,603,2025-08-06,2,Excellent
160,222,2025-07-15,5,Good
162,1188,2025-11-06,1,Good
163,1171,2025-05-19,4,Good
164,749,2025-01-02,4,Excellent
165,611,2025-10-10,4,Average
170,791,2025-06-28,3,Average
173,1001,2025-12-21,5,Excellent
174,36,2025-10-01,1,Average
175,1133,2025-09-16,5,Average
176,149,2025-10-05,2,Good
178,61,2025-06-13,2,Excellent
179,221,2025-10-01,5,Good
182,614,2025-07-10,4,Excellent
185,456,2025-06-02,1,Good
186,1447,2025-10-18,5,Excellent
188,847,2025-08-15,5,Average
195,936,2025-12-22,2,Needs Improvement
196,31,2025-04-07,5,Excellent
197,1405,2025-01-04,4,Good
198,789,2025-02-11,1,Average
201,1023,2025-08-22,4,Excellent
203,540,2025-07-12,4,Excellent
204,618,2025-04-27,5,Good
207,1274,2025-02-08,1,Good
208,849,2025-03-31,4,Needs Improvement
210,1006,2025-05-13,1,Good
211,131,2025-03-30,5,Average
215,705,2025-01-13,5,Needs Improvement
217,545,2025-04-08,3,Excellent
219,165,2025-04-29,2,Needs Improvement
222,1494,2025-07-04,4,Excellent
224,459,2025-07-02,1,Excellent
228,144,2025-10-21,1,Average
229,1135,2025-11-15,5,Good
230,1021,2025-08-23,4,Average
231,27,2025-11-10,3,Average
232,975,2025-06-19,4,Excellent
233,292,2025-08-07,5,Needs Improvement
236,645,2025-04-24,1,Needs Improvement
237,897,2025-08-18,4,Needs Improvement
238,300,2025-06-11,1,Good
239,24,2025-02-10,3,Good
240,206,2025-03-01,3,Good
242,1321,2025-11-09,3,Average
244,1078,2025-11-15,3,Good
245,1106,2025-09-02,2,Needs Improvement
246,683,2025-07-24,1,Good
248,1410,2025-10-02,2,Excellent
249,1304,2025-05-15,5,Good
250,539,2025-09-04,1,Average
255,1295,2025-06-29,5,Good
256,900,2025-11-01,3,Good
257,609,2025-07-12,5,Excellent
258,660,2025-04-13,5,Average
259,410,2025-10-30,1,Needs Improvement
263,1457,2025-04-08,5,Average
264,711,2025-07-03,2,Excellent
265,357,2025-04-08,2,Average
270,592,2025-03-07,4,Excellent
271,278,2025-11-25,1,Good
272,786,2025-12-05,3,Average
273,228,2025-05-05,1,Needs Improvement
277,539,2025-05-24,5,Excellent
278,942,2025-10-28,5,Good
279,487,2025-10-15,5,Good
280,799,2025-06-12,1,Needs Improvement
284,996,2025-12-01,2,Good
286,1133,2025-06-10,2,Average
287,1303,2025-07-24,2,Good
288,534,2025-01-28,2,Needs Improvement
289,246,2025-08-08,5,Average
293,152,2025-06-04,3,Average
294,695,2025-07-11,4,Excellent
295,421,2025-04-24,4,Average
296,955,2025-12-26,3,Needs Improvement
299,576,2025-05-01,5,Excellent
300,200,2025-12-11,3,Needs Improvement
302,1317,2025-05-24,1,Excellent
305,1133,2025-09-13,4,Average
306,824,2025-08-10,4,Average
307,1017,2025-01-30,5,Needs Improvement
309,1265,2025-04-26,3,Excellent
311,357,2025-03-31,5,Excellent
312,1358,2025-06-16,5,Excellent
314,1323,2025-05-16,2,Excellent
315,138,2025-08-10,5,Excellent
316,637,2025-05-17,3,Excellent
319,438,2025-05-16,5,Excellent
321,1373,2025-06-19,3,Needs Improvement
323,135,2025-04-05,2,Good
324,326,2025-02-25,4,Excellent
326,944,2025-11-05,3,Average
327,974,2025-07-29,4,Average
329,1090,2025-11-26,1,Needs Improvement
330,144,2025-11-17,4,Excellent
332,441,2025-11-07,2,Excellent
334,159,2025-04-12,5,Excellent
335,215,2025-01-09,1,Excellent
337,763,2025-12-17,5,Good
338,562,2025-11-14,5,Excellent
339,143,2025-05-11,2,Average
340,95,2025-08-21,1,Good
342,104,2025-02-28,5,Needs Improvement
343,1406,2026-01-01,3,Average
347,183,2025-09-07,5,Average
350,464,2025-06-28,5,Excellent
351,711,2025-04-21,4,Needs Improvement
352,1099,2025-04-01,5,Average
353,359,2025-07-29,2,Good
354,719,2025-05-13,1,Good
355,819,2025-10-05,4,Excellent
361,790,2025-05-16,4,Needs Improvement
362,258,2025-07-08,2,Good
363,211,2025-01-14,2,Needs Improvement
364,480,2025-09-18,3,Good
365,1306,2025-04-20,4,Excellent
367,766,2025-05-30,5,Good
368,461,2025-02-20,3,Needs Improvement
370,368,2025-09-18,5,Good
372,713,2025-05-19,4,Average
376,282,2025-05-18,1,Excellent
379,905,2025-06-17,4,Excellent
383,28,2025-12-15,1,Needs Improvement
385,687,2025-03-18,1,Average
387,377,2025-12-17,2,Needs Improvement
388,73,2025-10-09,2,Average
389,411,2025-11-22,2,Excellent
390,1354,2025-03-27,5,Needs Improvement
394,269,2025-11-23,3,Average
397,884,2025-01-10,4,Needs Improvement
398,655,2025-09-15,5,Excellent
399,62,2025-10-25,2,Good
400,1092,2025-06-30,2,Good
407,505,2025-02-13,4,Average
408,379,2025-12-22,5,Needs Improvement
410,743,2025-01-16,5,Average
412,1005,2025-06-24,3,Good
413,968,2025-05-10,5,Excellent
416,352,2025-01-20,3,Good
420,874,2025-07-05,1,Excellent
424,646,2025-01-29,2,Needs Improvement
429,500,2025-07-18,3,Needs Improvement
432,1125,2025-11-13,5,Needs Improvement
433,863,2025-10-24,3,Average
434,1394,2025-04-10,5,Needs Improvement
435,1052,2025-08-16,1,Excellent
436,279,2025-11-15,5,Average
438,619,2025-03-04,3,Average
442,1432,2025-02-01,3,Average
444,1119,2025-07-14,3,Average
445,1161,2025-05-10,2,Needs Improvement
449,944,2025-04-04,3,Excellent
453,624,2025-06-27,1,Needs Improvement
455,1109,2025-10-02,5,Average
456,135,2025-01-08,1,Average
458,612,2025-09-21,4,Average
459,793,2025-02-21,5,Good
461,1016,2025-07-27,5,Good
462,638,2025-01-26,4,Average
468,780,2025-06-01,5,Good
471,70,2025-11-02,4,Excellent
472,743,2025-03-10,5,Average
476,762,2025-06-20,4,Excellent
477,758,2025-02-21,2,Needs Improvement
479,1379,2025-09-10,1,Good
480,195,2025-08-20,1,Average
481,1109,2025-07-14,3,Needs Improvement
482,497,2026-01-01,2,Excellent
483,646,2025-05-03,3,Excellent
486,91,2025-12-30,4,Excellent
487,219,2025-02-21,2,Needs Improvement
489,1378,2025-08-19,1,Excellent
495,884,2025-12-24,1,Excellent
496,122,2025-11-26,5,Good
497,1357,2025-12-28,4,Needs Improvement
498,567,2025-04-30,4,Good
500,125,2025-04-20,3,Good
