leave_id,emp_id,leave_type,days,status
141,481,Casual,9,Rejected
143,362,Casual,8,Pending
147,920,Sick,6,Approved
148,93,Earned,3,Pending
149,562,Earned,6,Pending
153,754,Sick,6,Pending
154,585,Sick,3,Rejected
155,66,Casual,7,Pending
158,837,Casual,4,Rejected
159,1336,Earned,10,Pending
161,1085,Sick,1,Approved
162,1459,Earned,8,Rejected
165,19,Casual,5,Pending
167,1126,Casual,3,Rejected
168,1392,Casual,3,Rejected
170,1092,Earned,6,Pending
172,1056,Casual,8,Rejected
173,1446,Casual,5,Rejected
174,690,Sick,10,Pending
175,1399,Sick,3,Pending
176,1128,Sick,5,Pending
177,1172,Earned,3,Rejected
184,1018,Earned,1,Pending
188,776,Sick,1,Approved
189,109,Earned,4,Rejected
191,493,Casual,3,Pending
194,887,Casual,4,Pending
195,983,Casual,1,Rejected
199,1035,Earned,2,Approved
200,51,Earned,9,Approved
201,265,Earned,9,Pending
202,267,Sick,7,Approved
204,655,Casual,9,Rejected
206,319,Casual,8,Pending
208,579,Sick,10,Pending
210,768,Earned,2,Pending
213,1268,Earned,5,Rejected
216,749,Sick,8,Approved
220,1213,Earned,6,Pending
221,305,Casual,5,Pending
222,182,Sick,9,Pending
224,1284,Earned,9,Rejected
226,1363,Sick,9,Pending
232,528,Earned,5,Pending
234,23,Sick,7,Pending
235,762,Casual,7,Approved
239,203,Sick,7,Approved
241,454,Casual,6,Approved
242,246,Earned,4,Approved
243,1033,Casual,9,Pending
246,117,Casual,4,Rejected
252,1305,Sick,8,Approved
255,836,Earned,6,Rejected
258,409,Casual,1,Approved
259,1046,Sick,3,Pending
261,384,Sick,1,Pending
262,1265,Casual,9,Approved
263,420,Casual,7,Pending
264,783,Sick,6,Approved
265,166,Earned,1,Rejected
267,439,Sick,1,Pending
268,447,Casual,5,Rejected
269,852,Casual,10,Rejected
270,622,Casual,7,Rejected
271,616,Earned,4,Pending
272,1275,Sick,6,Pending
274,541,Casual,7,Rejected
277,42,Casual,7,Rejected
278,334,Sick,6,Pending
279,1491,Sick,4,Approved
282,75,Casual,1,Rejected
283,63,Sick,10,Rejected
289,786,Earned,3,Rejected
291,826,Casual,7,Rejected
299,1306,Casual,5,Rejected
300,396,Sick,3,Approved
304,1354,Earned,10,Approved
307,935,Earned,8,Rejected
309,1433,Sick,6,Approved
310,658,Earned,3,Approved
312,359,Sick,7,Approved
314,563,Sick,9,Approved
315,1209,Sick,4,Rejected
319,1180,Sick,5,Pending
320,963,Casual,9,Approved
325,785,Earned,10,Rejected
327,864,Casual,9,Approved
328,469,Sick,5,Pending
330,1055,Sick,2,Approved
331,1318,Sick,1,Approved
332,800,Earned,9,Approved
333,765,Sick,10,Pending
334,752,Earned,9,Pending
336,985,Sick,3,Rejected
337,384,Sick,1,Pending
338,854,Sick,9,Approved
339,143,Earned,2,Approved
340,1171,Sick,3,Pending
341,206,Sick,5,Pending
342,1089,Casual,7,Approved
343,404,Casual,4,Pending
344,869,Earned,10,Approved
348,712,Earned,2,Approved
349,576,Casual,5,Approved
350,65,Earned,5,Pending
352,119,Earned,5,Pending
353,981,Sick,5,Approved
357,579,Sick,6,Pending
358,329,Earned,5,Rejected
359,1374,Sick,6,Rejected
361,251,Casual,4,Rejected
363,194,Casual,8,Rejected
366,1102,Casual,4,Approved
367,368,Casual,4,Rejected
369,854,Sick,5,Rejected
370,703,Earned,8,Approved
373,940,Sick,1,Rejected
374,1238,Sick,7,Approved
381,136,Casual,4,Approved
384,181,Sick,1,Pending
389,886,Earned,3,Rejected
391,1395,Casual,9,Pending
394,6,Sick,4,Approved
395,1065,Earned,6,Rejected
398,824,Earned,6,Approved
399,1207,Casual,7,Approved
400,259,Casual,2,Approved
401,278,Sick,10,Rejected
404,1313,Sick,7,Pending
405,232,Earned,9,Rejected
406,302,Casual,10,Pending
407,550,Sick,2,Rejected
408,481,Earned,1,Rejected
410,1108,Casual,8,Rejected
412,205,Earned,3,Pending
424,1169,Casual,4,Pending
426,953,Casual,7,Approved
427,778,Sick,1,Pending
428,764,Sick,8,Rejected
430,890,Sick,2,Approved
431,532,Sick,2,Pending
433,898,Sick,1,Rejected
434,1113,Earned,3,Pending
438,1150,Earned,1,Approved
439,9,Earned,2,Approved
440,544,Sick,4,Approved
441,861,Casual,8,Approved
442,926,Sick,5,Pending
443,803,Earned,10,Approved
444,1357,Earned,5,Pending
445,113,Sick,2,Pending
448,851,Earned,6,Rejected
450,836,Sick,1,Approved
454,279,Sick,6,Pending
462,1127,Earned,7,Approved
463,1060,Casual,2,Rejected
464,74,Earned,6,Rejected
466,337,Earned,7,Rejected
467,548,Casual,2,Approved
469,1299,Sick,4,Approved
470,234,Sick,8,Pending
472,1157,Casual,2,Pending
473,443,Earned,2,Pending
474,937,Sick,1,Pending
476,355,Casual,10,Pending
480,1112,Sick,5,Pending
481,486,Casual,2,Pending
482,864,Earned,5,Approved
484,951,Sick,4,Rejected
486,1099,Casual,2,Approved
489,675,Sick,10,Pending
490,1188,Casual,5,Pending
491,1032,Earned,3,Approved
492,767,Sick,3,Approved
496,410,Earned,3,Approved
497,1341,Sick,6,Pending
498,258,Casual,5,Approved
500,1008,Earned,9,Approved
